id,symbol,name
01coin,zoc,01coin
0chain,zcn,Zus
0vix-protocol,vix,0VIX Protocol
0x,zrx,0x
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract
0xdao,oxd,0xDAO
0xdao-v2,oxd v2,0xDAO V2
0xmonero,0xmr,0xMonero
0xtrade,0xt,0xTrade
0xwallet-token,0xw,0xWallet Token
12405-santa-rosa,realt-s-12405-santa-rosa-dr-detroit-mi,"RealT - 12405 Santa Rosa Dr, Detroit, MI 48204"
12ships,tshp,12Ships
1337,1337,Elite
14066-santa-rosa,realt-s-14066-santa-rosa-dr-detroit-mi,"RealT - 14066 Santa Rosa Dr, Detroit, MI 48238"
1617-s-avers,realt-s-1617-s.avers-ave-chicago-il,"RealT - 1617 S Avers Ave, Chicago, IL 60623"
1art,1art,OneArt
1bch,1bch,1BCH
1box,1box,1BOX
1doge,1doge,1Doge
1eco,1eco,1eco
1eth,1eth,1ETH
1hive-water,water,1Hive Water
1inch,1inch,1inch
1inch-yvault,yv1inch,1INCH yVault
1million-nfts,1mil,1MillionNFTs
1minbet,1mb,1minBET
1move token,1mt,1Move Token
1peco,1peco,1peco
1reward-token,1rt,1Reward Token
1safu,safu,1SAFU
1sol,1sol,1Sol
1sol-io-wormhole,1sol,1sol.io (Wormhole)
1world,1wo,1World
2044-nuclear-apocalypse,2044,2044 Nuclear Apocalypse
20weth-80bal,20weth-80bal,20WETH-80BAL
28vck,vck,28VCK
2acoin,arms,2ACoin
2crazynft,2crz,2crazyNFT
2g-carbon-coin,2gcc,2G Carbon Coin
2local-2,2lc,2local
2omb-finance,2omb,2omb
2share,2shares,2SHARE
300fit,fit,300FIT
30mb-token,3omb,3OMB
3air,3air,3air
3gg,3gg,3gg
3-kingdoms-multiverse,3km,3 Kingdoms Multiverse
3shares,3share,3Share
3xcalibur,xcal,3xcalibur Ecosystem Token
42-coin,42,42-coin
4852-4854-w-cortez,realt-s-4852-4854-w.cortez-st-chicago-il,"RealT - 4852-4854 W Cortez St, Chicago, IL 60651"
4artechnologies,4art,4ART Coin
4d-twin-maps,map,4D Twin Maps
4int,4int,4INT
4jnet,4jnet,4JNET
4mw,4mw,4 Meta World
4play,4play,4PLAY
50cent,50c,50Cent
5g-cash,vgc,5G-CASH
5km-run,run,5KM RUN
7pixels,7pxs,7Pixels
888tron,888,888tron
88mph,mph,88mph
8bitearn,8bit,8BITEARN
8pay,8pay,8Pay
8x8-protocol,exe,8X8 Protocol
99defi,99defi,99Defi
99starz,stz,99Starz
9-lives-network,ninefi,9 Lives Network
a4-finance,a4,A4 Finance
aada-finance,aada,Aada Finance
aag-ventures,aag,AAG
aave,aave,Aave
aave-aave,aaave,Aave AAVE
aave-amm-bptbalweth,aammbptbalweth,Aave AMM BptBALWETH
aave-amm-bptwbtcweth,aammbptwbtcweth,Aave AMM BptWBTCWETH
aave-amm-dai,aammdai,Aave AMM DAI
aave-amm-uniaaveweth,aammuniaaveweth,Aave AMM UniAAVEWETH
aave-amm-unibatweth,aammunibatweth,Aave AMM UniBATWETH
aave-amm-unicrvweth,aammunicrvweth,Aave AMM UniCRVWETH
aave-amm-unidaiusdc,aammunidaiusdc,Aave AMM UniDAIUSDC
aave-amm-unidaiweth,aammunidaiweth,Aave AMM UniDAIWETH
aave-amm-unilinkweth,aammunilinkweth,Aave AMM UniLINKWETH
aave-amm-unimkrweth,aammunimkrweth,Aave AMM UniMKRWETH
aave-amm-unirenweth,aammunirenweth,Aave AMM UniRENWETH
aave-amm-unisnxweth,aammunisnxweth,Aave AMM UniSNXWETH
aave-amm-uniuniweth,aammuniuniweth,Aave AMM UniUNIWETH
aave-amm-uniusdcweth,aammuniusdcweth,Aave AMM UniUSDCWETH
aave-amm-uniwbtcusdc,aammuniwbtcusdc,Aave AMM UniWBTCUSDC
aave-amm-uniwbtcweth,aammuniwbtcweth,Aave AMM UniWBTCWETH
aave-amm-uniyfiweth,aammuniyfiweth,Aave AMM UniYFIWETH
aave-amm-usdc,aammusdc,Aave AMM USDC
aave-amm-usdt,aammusdt,Aave AMM USDT
aave-amm-wbtc,aammwbtc,Aave AMM WBTC
aave-amm-weth,aammweth,Aave AMM WETH
aave-bal,abal,Aave BAL
aave-balancer-pool-token,abpt,Aave Balancer Pool Token
aave-bat,abat,Aave BAT
aave-bat-v1,abat,Aave BAT v1
aave-busd,abusd,Aave BUSD
aave-busd-v1,abusd,Aave BUSD v1
aave-crv,acrv,Aave CRV
aave-dai,adai,Aave DAI
aave-dai-v1,adai,Aave DAI v1
aave-enj,aenj,Aave ENJ
aave-enj-v1,aenj,Aave ENJ v1
aave-eth-v1,aeth,Aave ETH v1
aavegotchi,ghst,Aavegotchi
aavegotchi-alpha,alpha,Aavegotchi ALPHA
aavegotchi-fomo,fomo,Aavegotchi FOMO
aavegotchi-fud,fud,Aavegotchi FUD
aavegotchi-kek,kek,Aavegotchi KEK
aave-gusd,agusd,Aave GUSD
aave-interest-bearing-steth,asteth,Aave Interest Bearing STETH
aave-knc,aknc,Aave KNC
aave-knc-v1,aknc,Aave KNC v1
aave-link,alink,Aave LINK
aave-link-v1,alink,Aave LINK v1
aave-mana,amana,Aave MANA
aave-mana-v1,amana,Aave MANA v1
aave-mkr,amkr,Aave MKR
aave-mkr-v1,amkr,Aave MKR v1
aave-polygon-aave,amaave,Aave Polygon AAVE
aave-polygon-dai,amdai,Aave Polygon DAI
aave-polygon-usdc,amusdc,Aave Polygon USDC
aave-polygon-usdt,amusdt,Aave Polygon USDT
aave-polygon-wbtc,amwbtc,Aave Polygon WBTC
aave-polygon-weth,amweth,Aave Polygon WETH
aave-polygon-wmatic,amwmatic,Aave Polygon WMATIC
aave-rai,arai,Aave RAI
aave-ren,aren,Aave REN
aave-ren-v1,aren,Aave REN v1
aave-snx,asnx,Aave SNX
aave-snx-v1,asnx,Aave SNX v1
aave-susd,asusd,Aave SUSD
aave-susd-v1,asusd,Aave SUSD v1
aave-tusd,atusd,Aave TUSD
aave-tusd-v1,atusd,Aave TUSD v1
aave-uni,auni,Aave UNI
aave-usdc,ausdc,Aave USDC
aave-usdc-v1,ausdc,Aave USDC v1
aave-usdt,ausdt,Aave USDT
aave-usdt-v1,ausdt,Aave USDT v1
aave-wbtc,awbtc,Aave WBTC
aave-wbtc-v1,awbtc,Aave WBTC v1
aave-weth,aweth,Aave WETH
aave-xsushi,axsushi,Aave XSUSHI
aave-yfi,ayfi,Aave YFI
aave-yvault,yvaave,Aave yVault
aave-zrx,azrx,Aave ZRX
aave-zrx-v1,azrx,Aave ZRX v1
abachi,abi,Abachi
abased,$abased,aBASED
abcmeta,meta,ABCMETA
abel-finance,abel,ABEL Finance
abell-coin,abc,Abell Coin
abey,abey,Abey
able-finance,able,Able Finance
aboat-token,aboat,Aboat Token
absolute-sync-token,ast,Absolute Sync
acala,aca,Acala
acala-dollar,ausd,Acala Dollar (Karura)
acala-dollar-acala,ausd,Acala Dollar (Acala)
aca-token,aca,ACA
access-protocol,acs,Access Protocol
acent,ace,Acent
acestarter,astar,AceStarter
acetoken,ace,ACEToken
acet-token,act,Acet
ac-exchange-token,acxt,ACDX Exchange
achain,act,Achain
acid,acid,Acid
acknoledger,ack,AcknoLedger
ac-milan-fan-token,acm,AC Milan Fan Token
acoconut,ac,ACoconut
acoin,acoin,Acoin
acquire-fi,acq,Acquire.Fi
acreage-coin,acr,Acreage Coin
acria,acria,Acria.AI
across-protocol,acx,Across Protocol
acryptos,acs,ACryptoS
acryptosi,acsi,ACryptoSI
actinium,acm,Actinium
action-coin,actn,Action Coin
active-world-rewards-token,awrt,Active World Rewards
acute-angle-cloud,aac,Double-A Chain
acy-finance,acy,ACY Finance
adacash,adacash,ADAcash
adadao,adao,ADADao
adamant,addy,Adamant
adana-demirspor,demir,Adana Demirspor
adanaspor-fan-token,adana,Adanaspor Fan Token
adapad,adapad,ADAPad
adappter-token,adp,Adappter
adaswap,asw,AdaSwap
adax,adax,ADAX
adazoo,zoo,ADAZOO
add-xyz-new,add,Add.xyz (NEW)
adex,adx,Ambire AdEx
ad-flex-token,adf,Ad Flex
aditus,adi,Aditus
ado-network,ado,ADO.Network
adonis-2,adon,Adonis
adora-token,ara,Adora
adreward,ad,ADreward
adroverse,adr,Adroverse
adshares,ads,Adshares
adtoken,adt,adChain
adv3nture-xyz-gemstone,gem,Adv3nture.xyz Gemstone
adv3nture-xyz-gold,gold,Adv3nture.xyz Gold
advanced-internet-block,aib,Advanced Integrated Blocks
advanced-united-continent,auc,Advanced United Continent
advantis,advt,Advantis
adventure-gold,agld,Adventure Gold
adventurer-gold,gold,Adventurer Gold
advertise-coin,adco,Advertise Coin
aeggs,aeggs,aEGGS
aegis,ags,Aegis
aegis-token-f7934368-2fb3-4091-9edc-39283e87f55d,aeg,Aegis Token
aelf,elf,aelf
aelin,aelin,Aelin
aelysir,ael,Aelysir
aen-smart-token,aens,AEN Smart
aeon,aeon,Aeon
aerarium-fi,aera,Aerarium Fi
aerdrop,aer,Aerdrop
aergo,aergo,Aergo
aeron,arnx,Aeron
aerovek-aviation,aero,Aerovek Aviation
aeternity,ae,Aeternity
aetherius,aeth,Aetherius
aeur,aeur,AEUR
aezora,azr,Azzure
afen-blockchain,afen,AFEN Blockchain
affinity,afnty,Affinity
affyn,fyn,Affyn
afin-coin,afin,Asian Fintech
afkdao,afk,AFKDAO
afrep,afrep,Afrep
afreum,afr,Afreum
afrix,afx,Afrix
afrostar,afro,Afrostar
afyonspor-fan-token,afyon,Afyonspor Fan Token
aga-carbon-credit,agac,AGA Carbon Credit
aga-carbon-rewards,acar,AGA Carbon Rewards
agame,ag,AGAME
aga-rewards,edc,Edcoin
aga-token,aga,AGA
agavecoin,agvc,AgaveCoin
agave-token,agve,Agave
agenor,age,Agenor
ageofgods,aog,AgeOfGods
age-of-tanks,a.o.t,Age Of Tanks
age-of-zalmoxis-koson,koson,Age of Zalmoxis KOSON
ageur,ageur,agEUR
ageur-plenty-bridge,egeur.e,agEUR (Plenty Bridge)
aggle-io,aggl,aggle.io
aggregated-finance,agfi,Aggregated Finance
agile,agl,Agile
agility,agi,Agility
